GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.inventory.horse.entity,Tracking,59,39,0,0,10,12,10,2,10,2
demo,com.inventory.horse.entity,Manufacturer,18,15,0,0,3,5,3,2,3,2
demo,com.inventory.horse.entity,Pattern,18,15,0,0,3,5,3,2,3,2
demo,com.inventory.horse.entity,Location,18,15,0,0,3,5,3,2,3,2
demo,com.inventory.horse.entity,Gender,18,15,0,0,3,5,3,2,3,2
demo,com.inventory.horse.entity,Scale,18,15,0,0,3,5,3,2,3,2
demo,com.inventory.horse.entity,Breed,18,15,0,0,3,5,3,2,3,2
demo,com.inventory.horse.entity,Mold,14,32,0,0,3,7,3,3,3,3
demo,com.inventory.horse.entity,BreedType,18,15,0,0,3,5,3,2,3,2
demo,com.inventory.horse.entity,Finish,18,15,0,0,3,5,3,2,3,2
demo,com.inventory.horse.entity,Color,18,15,0,0,3,5,3,2,3,2
demo,com.inventory.horse.entity,RunType,18,15,0,0,3,5,3,2,3,2
demo,com.inventory.horse.entity,Horse,109,96,0,0,33,20,16,3,16,3
demo,com.inventory.horse.entity,Model,32,53,0,0,6,10,6,3,6,3
demo,com.inventory.horse.entity,Condition,18,15,0,0,3,5,3,2,3,2
demo,com.inventory.horse,MainKt,12,0,0,0,2,0,1,0,1,0
demo,com.inventory.horse,SpringConfiguration,3,0,0,0,2,0,1,0,1,0
demo,com.inventory.horse.entity.requests,MoldRequest,0,18,0,0,0,3,0,3,0,3
demo,com.inventory.horse.entity.requests,HorseRequest,0,96,0,0,0,16,0,16,0,16
demo,com.inventory.horse.entity.requests,ModelRequest,0,36,0,0,0,6,0,6,0,6
demo,com.inventory.horse.controller,BreedTypeController.update.new Function1() {...},0,16,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,LocationController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,BreedController.update.new Function1() {...},0,16,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,ModelController.update.new Function1() {...},0,20,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,GenderController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,LocationController.update.new Function1() {...},0,16,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,ScaleController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,TrackingController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,ConditionController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,ManufacturerController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,FinishController.update.new Function1() {...},0,16,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,PatternController.update.new Function1() {...},0,16,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,BreedTypeController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,GenderController.update.new Function1() {...},0,16,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,ConditionController.update.new Function1() {...},0,16,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,ColorController.update.new Function1() {...},0,16,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,HorseController,60,338,0,2,0,60,12,9,12,8
demo,com.inventory.horse.controller,PatternController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,MoldController,0,102,0,0,0,16,0,6,0,6
demo,com.inventory.horse.controller,ColorController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,RunTypeController.update.new Function1() {...},0,16,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,FinishController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,TrackingController.update.new Function1() {...},0,23,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,RunTypeController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,HorseController.getOne.new Function1() {...},0,3,0,0,0,1,0,1,0,1
demo,com.inventory.horse.controller,ModelController,15,153,0,0,0,21,3,6,3,6
demo,com.inventory.horse.controller,MoldController.update.new Function1() {...},0,17,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,ManufacturerController.update.new Function1() {...},0,16,0,0,0,2,0,1,0,1
demo,com.inventory.horse.controller,BreedController,0,63,0,0,0,9,0,5,0,5
demo,com.inventory.horse.controller,ScaleController.update.new Function1() {...},0,16,0,0,0,2,0,1,0,1
